File,LineNumber,src
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestBigLinkedList.java,1081,"      job.getConfiguration().setInt(GENERATOR_WRAP_KEY, wrapMuplitplier.intValue());"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,27,import com.google.common.collect.Lists;
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,117,    REFERENCES_CHECKED;
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,125,"    getConf().setLong(NUM_TO_WRITE_KEY, NUM_TO_WRITE_DEFAULT / 100);"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,126,"    getConf().setInt(NUM_MAP_TASKS_KEY, NUM_MAP_TASKS_DEFAULT / 100);"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,127,"    getConf().setInt(NUM_REDUCE_TASKS_KEY, NUM_REDUCE_TASKS_DEFAULT / 10);"
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,363,    int numPreCreate = 40;
hbase-it/src/test/java/org/apache/hadoop/hbase/test/IntegrationTestLoadAndVerify.java,364,"    admin.createTable(htd, Bytes.toBytes(0L), Bytes.toBytes(-1L), numPreCreate);"
hbase-server/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlLists.java,485,"    return getUserPermissions(conf, tableName.getName());"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/BaseLoadBalancer.java,66,    List<RegionLoad>[] regionLoads;
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/BaseLoadBalancer.java,88,"    protected Cluster(Map<ServerName, List<HRegionInfo>> clusterState,  Map<String, List<RegionLoad>> loads,"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/BaseLoadBalancer.java,124,      regionLoads = new List[numRegions];
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/BaseLoadBalancer.java,165,            List<RegionLoad> rl = loads.get(region.getRegionNameAsString());
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,20,import java.util.ArrayList;
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,104,"  private Map<String, List<RegionLoad>> loads = new HashMap<String, List<RegionLoad>>();"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,186,    //if (!needsBalance(new ClusterLoadState(clusterState))) {
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,187,    //  return null;
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,188,    //}
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,306,"    Map<String, List<RegionLoad>> oldLoads = loads;"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,307,"    loads = new HashMap<String, List<RegionLoad>>();"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,315,        List<RegionLoad> rLoads = oldLoads.get(Bytes.toString(entry.getKey()));
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,316,        if (rLoads != null) {
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,317,          // We're only going to keep 15.  So if there are that many already take the last 14
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,318,          if (rLoads.size() >= numRegionLoadsToRemember) {
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,319,            int numToRemove = 1 + (rLoads.size() - numRegionLoadsToRemember);
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,320,"            rLoads = rLoads.subList(numToRemove, rLoads.size());"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,321,          }
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,322,
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,323,        } else {
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,325,          rLoads = new ArrayList<RegionLoad>();
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,809,"    private Map<String, List<RegionLoad>> loads = null;"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,819,"    void setLoads(Map<String, List<RegionLoad>> l) {"
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,839,          List<RegionLoad> regionLoadList =  cluster.regionLoads[regionIndex];
hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/StochasticLoadBalancer.java,855,    protected double getRegionLoadCost(List<RegionLoad> regionLoadList) {
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,20,import static org.junit.Assert.assertEquals;
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,21,import static org.junit.Assert.assertNotNull;
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,22,import static org.junit.Assert.assertNull;
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,23,import static org.junit.Assert.assertTrue;
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,24,
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,26,import java.util.HashMap;
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,29,import java.util.Set;
hbase-server/src/test/java/org/apache/hadoop/hbase/master/balancer/TestStochasticLoadBalancer.java,33,import org.apache.commons.math.stat.descriptive.DescriptiveStatistics;
hbase-server/src/main/java/org/apache/hadoop/hbase/security/access/AccessControlLists.java,358,"        new TreeMap<byte[], ListMultimap<String, TablePermission>>();"
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,68,  protected String START_KEY;
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,73,  public volatile Configuration conf;
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,78,    init();
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,86,    init();
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,87,  }
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,88,
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,89,  private void init() {
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,90,    conf = HBaseConfiguration.create();
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,91,"    START_KEY = new String(START_KEY_BYTES, HConstants.UTF8_CHARSET);"
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,249,"  protected static long addContent(final HRegion r, final byte [] columnFamily)"
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,268,"  protected static long addContent(final Incommon updater, final String family,"
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestCase.java,290,"  protected static long addContent(final Incommon updater, final String family,"
hbase-server/src/test/java/org/apache/hadoop/hbase/HBaseTestingUtility.java,96,import org.apache.hadoop.hbase.tool.Canary;
hbase-server/src/test/java/org/apache/hadoop/hbase/backup/example/TestZooKeeperTableArchiveClient.java,69,  private static final HBaseTestingUtility UTIL = new HBaseTestingUtility();
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,21,import java.util.ArrayList;
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,22,import java.util.List;
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,23,
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,30,import org.apache.hadoop.hbase.TableName;
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,43,import org.junit.Assert;
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,54,
hbase-server/src/test/java/org/apache/hadoop/hbase/client/TestSnapshotMetadata.java,57,"  private static final String STRING_TABLE_NAME = ""testtable"";"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,36,import org.apache.hadoop.hbase.TableName;
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,61,public class TestCoprocessorInterface extends HBaseTestCase {
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,63,  private static final HBaseTestingUtility TEST_UTIL =
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,64,    new HBaseTestingUtility();
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,266,    TableName tableName =
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,267,"        TableName.valueOf(""testtable"");"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,271,"    HRegion region = initHRegion(tableName, getName(), hc,"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,275,"      addContent(region, fam3);"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,344,    TableName tableName =
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,345,"        TableName.valueOf(""testtable"");"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,349,"    HRegion region = initHRegion(tableName, getName(), hc,"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,352,"      addContent(region, fam3);"
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,502,}
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,503,
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,504,
hbase-server/src/test/java/org/apache/hadoop/hbase/coprocessor/TestCoprocessorInterface.java,505,
hbase-server/src/test/java/org/apache/hadoop/hbase/io/encoding/TestEncodedSeekers.java,30,import org.apache.hadoop.hbase.HTableDescriptor;
hbase-server/src/test/java/org/apache/hadoop/hbase/io/encoding/TestEncodedSeekers.java,69,  private final HBaseTestingUtility testUtil = new HBaseTestingUtility();
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestCacheOnWrite.java,72,  private static final HBaseTestingUtility TEST_UTIL =
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestCacheOnWrite.java,73,    new HBaseTestingUtility();
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestForceCacheImportantBlocks.java,19,import static org.junit.Assert.assertFalse;
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestForceCacheImportantBlocks.java,20,import static org.junit.Assert.assertTrue;
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestForceCacheImportantBlocks.java,21,
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestForceCacheImportantBlocks.java,27,import java.util.Map;
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestForceCacheImportantBlocks.java,55,  private final HBaseTestingUtility TEST_UTIL =
hbase-server/src/test/java/org/apache/hadoop/hbase/io/hfile/TestForceCacheImportantBlocks.java,56,      new HBaseTestingUtility();
hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestOpenedRegionHandler.java,68,    TEST_UTIL = new HBaseTestingUtility(conf);
hbase-server/src/test/java/org/apache/hadoop/hbase/master/TestOpenedRegionHandler.java,70,
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,19,
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,36,import org.apache.hadoop.hbase.HBaseTestCase;
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,62,import org.apache.hadoop.hbase.util.EnvironmentEdgeManagerTestHelper;
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,71,public class TestAtomicOperation extends HBaseTestCase {
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,89,  /**
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,90,   * @see org.apache.hadoop.hbase.HBaseTestCase#setUp()
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,91,   */
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,92,  @Override
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,93,  protected void setUp() throws Exception {
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,94,    super.setUp();
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,95,  }
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,96,
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,97,  @Override
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,98,  protected void tearDown() throws Exception {
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,99,    super.tearDown();
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,100,    EnvironmentEdgeManagerTestHelper.reset();
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,101,  }
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,102,
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,114,"    initHRegion(tableName, getName(), fam1);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,138,"    initHRegion(tableName, getName(), new int[] {1,3}, fam1, fam2);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,256,"    initHRegion(tableName, getName(), new int[] {1,3}, fam1, fam2);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,316,"    initHRegion(tableName, getName(), fam1);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestAtomicOperation.java,403,"    initHRegion(tableName, getName(), fam1);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,45,  private final static HBaseTestingUtility TEST_UTIL =
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,46,      new HBaseTestingUtility();
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,55,"    TableName table = TableName.valueOf(""TestDuplicateVersions"");"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,63,    HRegion region =
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,64,"        HRegion.createHRegion(info, TEST_UTIL.getDataTestDir(), TEST_UTIL"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,65,"            .getConfiguration(), htd);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,169,    TableName table =
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,170,"        TableName.valueOf(""TestSingleVersions"");"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,178,    HRegion region =
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,179,"        HRegion.createHRegion(info, TEST_UTIL.getDataTestDir(), TEST_UTIL"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestColumnSeeking.java,180,"            .getConfiguration(), htd);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,24,import org.apache.hadoop.hbase.HBaseTestCase;
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,41,public class TestKeepDeletes extends HBaseTestCase {
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,53,  @Override
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,54,  protected void setUp() throws Exception {
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,55,    super.setUp();
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,69,  @Override
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,70,  protected void tearDown() throws Exception {
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,71,    super.tearDown();
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,83,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 3,"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,85,"    HRegion region = createNewHRegion(htd, null, null);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,179,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 3,"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,181,"    HRegion region = createNewHRegion(htd, null, null);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,223,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 3,"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,225,"    HRegion region = createNewHRegion(htd, null, null);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,266,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 3,"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,268,"    HRegion region = createNewHRegion(htd, null, null);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,276,      InternalScanner scan = region.getScanner(s);
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,289,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 3,"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,291,"    HRegion region = createNewHRegion(htd, null, null);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,323,"    assertEquals(kvs.get(1).getValue(), T3);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,326,"    assertEquals(kvs.get(4).getValue(), T2);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,327,"    assertEquals(kvs.get(5).getValue(), T1);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,353,"    assertEquals(kvs.get(1).getValue(), T1);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,367,"    assertEquals(kvs.get(0).getValue(), T3);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,378,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 1,"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,380,"    HRegion region = createNewHRegion(htd, null, null);"
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/TestKeepDeletes.java,420,"    HTableDescriptor htd = createTableDescriptor(getName(), 0, 1,"
